Date ,Section,Value
1997,spirits,2751
1998,spirits,2741
1999,spirits,2911
2000,spirits,2925
2001,spirits,2925
2002,spirits,2922
2003,spirits,3157
2004,spirits,3079
2005,spirits,3230
2006,spirits,3169
2007,spirits,3346
2008,spirits,3505
2009,spirits,3526
2010,spirits,3739
2011,spirits,4405
2012,spirits,4728
2013,spirits,5246
2014,spirits,5015
2015,spirits,5237
2016,spirits,5263
2017,spirits,5694
2018,spirits,6225
2019,spirits,6230
2020,spirits,7683
2021,spirits,7646
2022,spirits,7070
2023,spirits,7003
1997,"Wines, cider and perry",3986
1998,"Wines, cider and perry",4207
1999,"Wines, cider and perry",4541
2000,"Wines, cider and perry",4832
2001,"Wines, cider and perry",5037
2002,"Wines, cider and perry",5366
2003,"Wines, cider and perry",5684
2004,"Wines, cider and perry",5877
2005,"Wines, cider and perry",6013
2006,"Wines, cider and perry",5947
2007,"Wines, cider and perry",6416
2008,"Wines, cider and perry",6541
2009,"Wines, cider and perry",6720
2010,"Wines, cider and perry",7047
2011,"Wines, cider and perry",7441
2012,"Wines, cider and perry",7865
2013,"Wines, cider and perry",8573
2014,"Wines, cider and perry",8231
2015,"Wines, cider and perry",8380
2016,"Wines, cider and perry",8442
2017,"Wines, cider and perry",9069
2018,"Wines, cider and perry",9422
2019,"Wines, cider and perry",9445
2020,"Wines, cider and perry",11721
2021,"Wines, cider and perry",11593
2022,"Wines, cider and perry",11129
2023,"Wines, cider and perry",11808
