Financial Year,Agriculture,Industry with manufacturing,Industry,Manufacturing,Services
2010,18.21,27.16,12.36,14.8,54.63
2011,17.86,27.22,12.49,14.73,54.92
2012,17.52,26.21,12.14,14.07,56.27
2013,16.04,28.42,14.13,14.29,55.54
2014,18.2,24.77,11.88,12.89,57.03
2015,18.02,24.82,11.78,13.04,57.16
2016,17.91,29.31,12.49,16.82,52.78
2017,17.8,29.01,12.53,16.48,53.19
2018,17.72,28.82,12.47,16.35,53.46
2019,17.61,28.51,12.47,16.04,53.88
2020,17.96,25.01,10.91,14.1,57.03
2021,18.37,28.34,13.62,14.72,53.29
2022,17.59,27.7,13.39,14.31,54.71
2023,17.66,27.63,13.36,14.27,54.71
2024,17.46,27.28,13.09,14.19,55.26
