"State","Segregation (MIS) (AVG)","Segregation (SS2023) (AVG)","B (SUM)"
"ANDAMAN AND NICOBAR ISLANDS",1,0.83,0
"CHANDIGARH",1,0.9675,0
"DAMAN DIU AND DADRA NAGAR HAVELI",1,0.4066666666666667,0
"GOA",1,0.43750000000000006,0
"LADAKH",1,0.9325,0
"ODISHA",1,0.7054394736842104,0
"PUDUCHERRY",1,0.41175999999999996,0
"SIKKIM",1,0.5682142857142857,0
"TRIPURA",1,0.041370000000000004,0
"CHHATTISGARH",0.999876923076923,0.6166591715976328,0
"KERALA",0.9996776595744681,0.3787425531914894,0
"TAMIL NADU",0.9987565284178188,0.2522480798771121,0
"MAHARASHTRA",0.9972777511961722,0.6390815789473693,0
"MADHYA PRADESH",0.994121409921671,0.500564751958224,0
"TELANGANA",0.989751048951049,0.5549741258741259,0
"PUNJAB",0.986700602409639,0.5173728915662651,0
"UTTAR PRADESH",0.9723867469879518,0.15834623493975902,0
"MANIPUR",0.969690909090909,0.38909090909090904,0
"HIMACHAL PRADESH",0.9588742424242424,0.27954545454545454,0
"BIHAR",0.9574146853146853,0.1500076923076924,0
"UTTARAKHAND",0.9489463917525772,0.17000206185567018,0
"ANDHRA PRADESH",0.9398024193548385,0.7527129032258064,0
"GUJARAT",0.9383666666666667,0.1371078787878788,0
"DELHI",0.9146666666666666,0.7107333333333333,0
"JAMMU AND KASHMIR",0.8938849999999997,0.18609000000000003,0
"KARNATAKA",0.8086548076923074,0.2834602564102565,0
"WEST BENGAL",0.761835,0.39809,0
"HARYANA",0.7561866666666668,0.20588888888888895,0
"JHARKHAND",0.7555900000000001,0.19185399999999994,0
"RAJASTHAN",0.7484471074380168,0.08105041322314048,0
"ASSAM",0.5419843749999999,0.05273333333333327,0
"ARUNACHAL PRADESH",0.5398456521739129,0.03413695652173913,0
"MIZORAM",0.44555357142857144,0.25151785714285707,0
"MEGHALAYA",0.43137,0.029400000000000003,0
"NAGALAND",0.2577128205128205,0.048238461538461536,0
