"Name","Gross Export","Code","Sector","Share"
"Business",29489925368,"ict","Services",7.879373157571365
"Travel & tourism",6907318949,"travel","Services",1.8455571805750475
"Transport",6784172556,"transport","Services",1.8126538628708648
"Insurance & finance",2214747946,"financial","Services",0.5917554995047526
"Soya beans",51006101199,"1201","Agriculture",13.628250992315946
"Sugarcane & sucrose",15268509222,"1701","Agriculture",4.07957226811106
"Corn",13197109707,"1005","Agriculture",3.526117841440727
"Solid soybean residues",10837139067,"2304","Agriculture",2.895560487312922
"Poultry",8811087929,"0207","Agriculture",2.3542226319805746
"Beef (frozen)",8131693402,"0202","Agriculture",2.172696129873738
"Coffee",6962985925,"0901","Agriculture",1.8604307643832154
"Chemical woodpulp, soda or sulfate",6907946653,"4703","Agriculture",1.8457248959553605
"Soybean oil",2550054122,"1507","Agriculture",0.6813455018453207
"Pork",2513230576,"0203","Agriculture",0.671506668538749
"Fruit juices",2415587410,"2009","Agriculture",0.6454175234629348
"Unmanufactured tobacco",2126476105,"2401","Agriculture",0.5681702660439878
"Ethyl alcohol > 80%",1763911297,"2207","Agriculture",0.4712970667942143
"Tanned hides of bovines or equines",1041510382,"4104","Agriculture",0.2782797462135204
"Other prepared or preserved meat",1004425968,"1602","Agriculture",0.2683712119398821
"Wheat and meslin",967616865,"1001","Agriculture",0.25853623763888917
"Beef",919202296,"0201","Agriculture",0.2456004146195494
"Wood sawn lengthwise",745619168,"4407","Agriculture",0.19922097410544704
"Chemical woodpulp, dissolving grade",707865951,"4702","Agriculture",0.1891337432654342
"Coffee extracts",706231765,"2101","Agriculture",0.18869710732477998
"Paper used for graphic purposes",697863099,"4802","Agriculture",0.18646109480788725
"Plywood",640631804,"4412","Agriculture",0.17116954272802415
"Rice",613874549,"1006","Agriculture",0.1640203080593577
"Wood shaped along its edges",540572236,"4409","Agriculture",0.1444347624795499
"Food preparations n.e.c.",485092473,"2106","Agriculture",0.12961119985890743
"Bovine",474777063,"0102","Agriculture",0.12685503945330867
"Paper and paperboard, coated with kaolin",451104005,"4810","Agriculture",0.12052986719752415
"Animal feed",443265653,"2309","Agriculture",0.1184355485589489
"Preserved meat",421901492,"0210","Agriculture",0.11272728736069922
"Peanuts",419707720,"1202","Agriculture",0.11214113639575346
"Cellulose wadding, coated",405081390,"4811","Agriculture",0.10823314712288686
"Edible offal",401484504,"0206","Agriculture",0.1072721000315301
"Wood carpentry for construction",374840860,"4418","Agriculture",0.10015322093184639
"Uncoated kraft paper and paperboard",359467373,"4804","Agriculture",0.09604559979362826
"Avocados, pineapples, mangos, etc.",338988492,"0804","Agriculture",0.09057387535774367
"Melons and papayas",321955971,"0807","Agriculture",0.0860229791754563
"Bovine, sheep and goat fats",274080989,"1502","Agriculture",0.07323132767472565
"Pepper",265367135,"0904","Agriculture",0.07090308484434198
"Fuel wood",259957643,"4401","Agriculture",0.06945773001454819
"Animal guts, except fish",247236347,"0504","Agriculture",0.06605874419206498
"Other oil seeds",236733375,"1207","Agriculture",0.06325246935010405
"Animal products used in pharmaceuticals",232543763,"0510","Agriculture",0.062133052602808374
"Animal products n.e.c.",230639918,"0511","Agriculture",0.06162436683972216
"Malt extract",227699628,"1901","Agriculture",0.0608387547429681
"Fiberboard of wood",211254066,"4411","Agriculture",0.05644468733971228
"Flours of fish, for animal feed",201412176,"2301","Agriculture",0.05381504610060902
"Confectionery sugar",193546930,"1704","Agriculture",0.05171354169065403
"Chocolates",190407051,"1806","Agriculture",0.05087460167972175
"Cereal residues",182118102,"2302","Agriculture",0.048659888639927186
"Bakery products",181052364,"1905","Agriculture",0.04837513554932372
"Grapes",178193537,"0806","Agriculture",0.04761128944103945
"Sausages",177248020,"1601","Agriculture",0.04735865803635263
"Peanut oil",171987315,"1508","Agriculture",0.045953057403267245
"Cardboard packing containers",167157791,"4819","Agriculture",0.044662663436697926
"Citrus fruit",162536278,"0805","Agriculture",0.04342784764706282
"Eggs, in shell",156697454,"0407","Agriculture",0.0418677801825549
"Beer",152952705,"2203","Agriculture",0.04086722577679639
"Yeasts",152266068,"2102","Agriculture",0.04068376416815271
"Glycerol",151102789,"1520","Agriculture",0.04037294923006838
"Wood in the rough",148195431,"4403","Agriculture",0.03959613618972382
"Vegetable materials for animal feeding",143352038,"2308","Agriculture",0.03830203658385706
"Other vegetable fats and oils",141353166,"1515","Agriculture",0.03776796068553988
"Legumes, dried",131388152,"0713","Agriculture",0.03510542211188774
"Particle board and similar board",129497730,"4410","Agriculture",0.034600322821963944
"Other manufactured tobacco",128751719,"2403","Agriculture",0.03440099715479792
"Fruits and nuts, otherwise prepared",124447590,"2008","Agriculture",0.03325098276560842
"Vegetable saps and extracts",120596076,"1302","Agriculture",0.03222190196432091
"Fowl",112353642,"0105","Agriculture",0.030019617204281243
"Frozen fish, excluding fillets",107212757,"0303","Agriculture",0.02864603111446645
"Toilet paper",99598812,"4818","Agriculture",0.026611671477825106
"Cocoa butter",90051755,"1804","Agriculture",0.024060806268066677
"Cashew nuts & coconuts",88661238,"0801","Agriculture",0.023689275916998525
"Mate",87244016,"0903","Agriculture",0.023310610293204272
"Vegetable waxes and beeswax",86638425,"1521","Agriculture",0.023148803255366036
"Seeds used for sowing",84670968,"1209","Agriculture",0.022623121088286097
"Cocoa powder",80138138,"1805","Agriculture",0.02141200038912726
"Crustaceans",79254796,"0306","Agriculture",0.021175981438353374
"Starch residues",79011275,"2303","Agriculture",0.02111091539268657
