Name,Gross Export,Code,Sector,Share
"Business","$203,356,684,288","ict","Services","5.252869360805054%"
"Transport","$146,533,285,888","transport","Services","3.785074537746992%"
"Travel & tourism","$13,474,203,648","travel","Services","0.3480496928421028%"
"Insurance & finance","$9,131,138,048","financial","Services","0.23586475875900598%"
"Transmission apparatus for radio, telephone and TV","$225,208,822,471","8525","Electronics","5.817327950063889%"
"Electronic integrated circuits","$149,440,575,038","8542","Electronics","3.860172192650767%"
"Semiconductor devices","$57,881,912,611","8541","Electronics","1.4951371102634523%"
"Batteries","$54,012,940,927","8507","Electronics","1.3951984095127872%"
"Electrical transformers","$44,153,575,242","8504","Electronics","1.140522935701645%"
"Telephones","$36,161,267,855","8517","Electronics","0.9340751036950453%"
"Insulated electrical wire","$29,579,211,586","8544","Electronics","0.7640552106800745%"
"Electric heaters","$28,477,703,624","8516","Electronics","0.7356023597470893%"
"Electrical machines with individual functions n.e.c.","$25,746,713,218","8543","Electronics","0.6650586454917301%"
"Monitors and projectors","$22,361,415,253","8528","Electronics","0.5776136322146644%"
"Electrical apparatus for < 1k volts","$21,402,461,822","8536","Electronics","0.5528430813287892%"
"Microphones","$19,863,418,724","8518","Electronics","0.5130883402306637%"
"Electronic printed circuits","$19,183,236,064","8534","Electronics","0.4955186662021237%"
"Electromechanical domestic appliances","$15,909,952,466","8509","Electronics","0.4109670755752375%"
"Parts of radios, telephones, and T.V.s","$15,120,875,391","8529","Electronics","0.3905845698066491%"
"Electric motors and generators","$14,978,957,918","8501","Electronics","0.38691872548835354%"
"Video recording apparatus","$13,984,193,455","8521","Electronics","0.36122314637716946%"
"Electrical boards","$12,125,122,917","8537","Electronics","0.31320183494191106%"
"Vacuum cleaners","$10,054,022,470","8508","Electronics","0.2597036176628151%"
"Parts for use with electric generators","$7,137,215,067","8503","Electronics","0.1843600985046785%"
"Electrical capacitors","$6,078,817,549","8532","Electronics","0.1570208255748514%"
"Electric generating sets and rotary converters","$5,877,869,592","8502","Electronics","0.1518301756085746%"
"Electrical lighting equipment used for motor vehicles","$5,814,288,617","8512","Electronics","0.15018782705889713%"
"Electromagnets","$5,621,173,030","8505","Electronics","0.14519949361120213%"
"Parts for electrical apparatus","$5,479,439,200","8538","Electronics","0.14153839294169004%"
"Electric sound or visual signaling apparatus","$5,285,105,153","8531","Electronics","0.13651858567633435%"
"Electrical resistors","$4,915,756,601","8533","Electronics","0.12697801070555625%"
"Carbon articles for eletrical purposes","$3,820,717,755","8545","Electronics","0.09869226232613036%"
"Reception apparatus for radio broadcasting","$3,642,750,978","8527","Electronics","0.09409523502202373%"
"Waste and scrap of batteries","$3,300,814,414","8548","Electronics","0.08526273410540378%"
"Electrical filament","$3,209,126,008","8539","Electronics","0.08289434764048503%"
"Sound storage media","$3,028,959,937","8523","Electronics","0.07824051077485132%"
"Portable electric lamps","$2,992,950,830","8513","Electronics","0.07731036611040366%"
"Electrical ignition equipment","$2,890,553,033","8511","Electronics","0.07466534732305233%"
"Radar","$2,802,221,104","8526","Electronics","0.072383661402329%"
"Primary cells and primary batteries","$2,504,796,338","8506","Electronics","0.06470093660802921%"
"Electric soldering machines","$2,399,655,720","8515","Electronics","0.06198506851251022%"
"Electric shavers and hair clippers","$1,571,144,975","8510","Electronics","0.04058395881825129%"
"Sound reproducing apparatus","$1,532,811,910","8519","Electronics","0.039593784419267294%"
"Industrial electric furnaces","$1,110,241,928","8514","Electronics","0.02867845641313139%"
"Electrical apparatus for > 1k volts","$1,028,900,548","8535","Electronics","0.026577342086530356%"
"Insulating fittings for electrical machines","$840,007,880","8547","Electronics","0.021698090088043322%"
"Electrical insulators of any material","$609,074,680","8546","Electronics","0.015732896787808894%"
"Parts and accessories for video or sound equipment","$561,419,245","8522","Electronics","0.014501917952449761%"
"Electric signal and traffic controls","$363,318,638","8530","Electronics","0.009384817363843301%"
"Thermionic, cold cathode or photocathode tubes","$116,363,002","8540","Electronics","0.0030057514464163896%"
"Magnetic tape recorders","$21,559,683","8520","Electronics","0.0005569042328551205%"
"Tapes, cassettes, records and compact disks","$4,161,539","8524","Electronics","0.00010749595364141788%"
"Computers","$156,599,648,618","8471","Machinery","4.045096914411437%"
"Parts and accessories for office machines","$73,869,336,504","8473","Machinery","1.9081053361163458%"
"Toys","$45,889,265,438","9503","Machinery","1.1853572320629382%"
"Pumps, compressors, fans, etc.","$23,656,846,345","8414","Machinery","0.6110756760910486%"
"Appliances for thermostatically controlled valves","$21,513,106,366","8481","Machinery","0.5557011203313071%"
"Air conditioners","$20,712,163,658","8415","Machinery","0.535012115564417%"
"Games","$19,401,952,169","9504","Machinery","0.5011682819533425%"
"Sports equipment","$16,926,068,455","9506","Machinery","0.4372141820538377%"
"Machines n.e.c.","$16,655,744,807","8479","Machinery","0.4302315012875185%"
"Refrigerators, freezers","$14,271,952,692","8418","Machinery","0.3686562026576565%"
"Parts for use with hoists and excavation machinery","$13,591,204,203","8431","Machinery","0.35107191280358824%"
"Christmas and other festivity articles","$13,380,422,901","9505","Machinery","0.3456272594990608%"
"Self-propelled bulldozers, excavators and road rollers","$12,349,333,824","8429","Machinery","0.3189933859197518%"
"Centrifuges","$11,833,925,338","8421","Machinery","0.3056799634773694%"
"Pumps for liquids","$11,015,939,748","8413","Machinery","0.284550727139085%"
"Transmission shafts","$10,078,367,368","8483","Machinery","0.26033246627550694%"
"Medical instruments","$9,893,231,455","9018","Machinery","0.2555502543291069%"
"Parts suitable for use with spark-ignition engines","$7,769,970,211","8409","Machinery","0.20070468103191005%"
"Equipment for temperature change of materials","$7,050,749,631","8419","Machinery","0.18212662562365037%"
"Brooms and mops","$6,671,565,977","9603","Machinery","0.17233200192987566%"
"Printers and copiers","$6,615,870,352","8443","Machinery","0.17089333841548116%"
"Machinery for working rubber or plastics","$6,590,036,709","8477","Machinery","0.1702260343026717%"
"Ball or roller bearings","$6,571,444,294","8482","Machinery","0.1697457770274372%"
"Measuring instruments","$6,252,827,153","9031","Machinery","0.16151563586612716%"
"Therapy applicances","$6,075,408,105","9019","Machinery","0.15693275684975544%"
"Other lifting machinery","$5,920,109,455","8428","Machinery","0.1529212657929674%"
"Molding boxes for metal foundry","$5,896,766,640","8480","Machinery","0.15231830180317893%"
"Fork-lift trucks","$5,724,641,145","8427","Machinery","0.1478721595872761%"
"Optical fibers","$5,338,445,396","9001","Machinery","0.13789640774858936%"
"Automatic regulating instruments","$5,280,653,780","9032","Machinery","0.13640360307358843%"
"Sprays and powder dispersers","$5,071,952,771","8424","Machinery","0.13101268543749728%"
"Household- or laundry-type washing machines","$4,689,196,041","8450","Machinery","0.12112576627032842%"
"Machinery for working minerals","$4,642,808,527","8474","Machinery","0.11992753887068502%"
"Other engines and motors","$4,141,773,922","8412","Machinery","0.10698540552246309%"
"Vacuum vessels","$3,997,572,619","9617","Machinery","0.1032605680086683%"
"Lenses and other optical elements","$3,928,959,411","9002","Machinery","0.10148823276770169%"
"Glasses","$3,772,061,647","9004","Machinery","0.09743543528932022%"
"Harvesting or agricultural machinery","$3,732,439,836","8433","Machinery","0.09641197152785%"
"Ships' derricks; cranes","$3,670,586,526","8426","Machinery","0.09481424997716208%"
"Dish washing machines","$3,579,050,768","8422","Machinery","0.09244980653484422%"
"Instruments for physical or chemical analysis","$3,335,104,934","9027","Machinery","0.08614848626302146%"
"Gas turbines","$3,263,452,332","8411","Machinery","0.08429764099090482%"
"Tools for hand working, pneumatic, hydraulic motors","$3,195,649,466","8467","Machinery","0.0825462375460996%"
"Pulleys and winches","$2,862,434,078","8425","Machinery","0.07393901173347234%"
"Cash registers, calculators, etc.","$2,819,014,603","8470","Machinery","0.07281745120700972%"
"Spark-ignition reciprocating internal combustion piston engines","$2,770,527,592","8407","Machinery","0.07156499208391441%"
"X-ray machines","$2,550,024,968","9022","Machinery","0.06586922908678403%"
"Instruments for measuring properties of liquids or gases","$2,517,352,880","9026","Machinery","0.06502528235048856%"
"Machine tools for working wood","$2,447,057,439","8465","Machinery","0.06320949365622448%"
"Sewing machines","$2,326,653,551","8452","Machinery","0.0600993628217677%"
"Pens","$2,252,564,374","9608","Machinery","0.05818557882596161%"
"Orthopedic appliances","$2,235,277,898","9021","Machinery","0.057739055022455396%"
"Combs, hair-slides etc.","$2,206,124,787","9615","Machinery","0.05698600633816839%"
"Machinery parts, not containing electrical features, n.e.c.","$2,187,553,840","8485","Machinery","0.056506303598919935%"
"Gas, liquid or electricity meters","$2,180,048,663","9028","Machinery","0.05631243874294655%"
"Other moving, excavating or boring machinery","$2,173,775,893","8430","Machinery","0.0561504079670429%"
"Fishing and hunting equipment","$2,156,095,296","9507","Machinery","0.05569370369598727%"
"Instruments for measuring electricity","$2,142,699,663","9030","Machinery","0.05534768354719966%"
"Compression-ignition internal combustion piston engines","$2,120,770,259","8408","Machinery","0.054781229118737514%"
"Frames for spectacles, goggles","$1,988,892,603","9003","Machinery","0.05137472147920443%"
"Watches","$1,859,723,126","9102","Machinery","0.04803816831666572%"
"Parts and accessories for metal working machines","$1,798,295,980","8466","Machinery","0.04645145493040631%"
"Weighing machinery","$1,761,441,600","8423","Machinery","0.04549947617351777%"
"Machines for working materials by laser and similar means","$1,756,481,587","8456","Machinery","0.0453713549838548%"
"Slide fasteners","$1,654,800,233","9607","Machinery","0.04274484250475017%"
"Other machinery for making paper","$1,654,289,563","8441","Machinery","0.04273165148127398%"
"Machinery for processing fabrics","$1,575,200,841","8451","Machinery","0.04068872515193501%"
"Liquid crystal devices","$1,574,221,540","9013","Machinery","0.04066342900671158%"
"Industrial furnaces","$1,560,392,948","8417","Machinery","0.04030622517309183%"
"Metal-rolling mills","$1,450,412,616","8455","Machinery","0.03746534330940155%"
"Thermometers, hydrometers etc.","$1,413,022,958","9025","Machinery","0.036499537884284436%"
"Machinery for the industrial preparation of food or drink","$1,409,949,923","8438","Machinery","0.03642015887860926%"
"Machine tools for molding and forging metals","$1,381,062,717","8462","Machinery","0.03567397873779932%"
"Other office machines","$1,328,040,882","8472","Machinery","0.03430438140442267%"
"Surveying instruments","$1,319,382,258","9015","Machinery","0.034080722069714416%"
"Knitting machines","$1,244,010,527","8447","Machinery","0.03213380865584291%"
"Steam boilers","$1,210,944,310","8402","Machinery","0.031279681245351486%"
"Cigarette lighters","$1,120,107,481","9613","Machinery","0.02893329171034595%"
"Machinery for soil preparation or cultivation","$1,070,305,266","8432","Machinery","0.027646859793000005%"
"Drafting tables and machines","$1,019,406,987","9017","Machinery","0.02633211564670894%"
"Auxiliary machinery for use with knitting and textile machines","$994,982,676","8448","Machinery","0.02570121573132197%"
"Machinery for making paper","$959,455,764","8439","Machinery","0.02478352655782757%"
"Other clocks","$955,086,837","9105","Machinery","0.024670673602645667%"
"Machines for preparing textile fibers","$951,749,706","8445","Machinery","0.024584472781441935%"
"Pencils, crayons, pastels, etc.","$855,403,251","9609","Machinery","0.022095765103778708%"
"Other agricultural machinery","$801,067,030","8436","Machinery","0.020692216105759987%"
"Scent sprays","$796,682,577","9616","Machinery","0.020578962101308513%"
"Buttons","$763,674,637","9606","Machinery","0.019726340033357524%"
"Machines used in metallurgy","$732,437,951","8454","Machinery","0.01891947090389183%"
"Musical instruments, electric","$713,284,510","9207","Machinery","0.018424721868544658%"
"Instruments designed for demonstrational purposes","$692,901,735","9023","Machinery","0.01789821813122934%"
"Lathes for removing metal","$683,357,088","8458","Machinery","0.017651672098274777%"
"Photographic cameras","$675,617,244","9006","Machinery","0.017451745601895483%"
"Machine tools for working stone","$657,893,121","8464","Machinery","0.016993917018685568%"
"Meters","$651,954,232","9029","Machinery","0.016840510661896523%"
"Watch straps","$599,233,844","9113","Machinery","0.015478699950905814%"
"Binoculars and telescopes","$586,259,806","9005","Machinery","0.015143569945542416%"
"Slates and boards, with writing or drawing surfaces","$554,148,107","9610","Machinery","0.014314098515129013%"
"Looms","$548,104,625","8446","Machinery","0.014157990435664961%"
"Machinery for preparing leather","$530,130,439","8453","Machinery","0.013693702520785821%"
"Machinery for processing grain","$519,546,723","8437","Machinery","0.013420316486318782%"
"Musical instruments, string","$501,425,360","9202","Machinery","0.012952226869240266%"
"Watch cases and parts","$474,220,806","9111","Machinery","0.012249511004840234%"
"Machining centers for working metal","$469,356,697","8457","Machinery","0.012123867093880658%"
"Steam turbines","$465,426,807","8406","Machinery","0.012022354823238506%"
"Other machine tools for working metal, without removal","$446,529,820","8463","Machinery","0.011534230204313997%"
"Auxiliary parts for use with boilers","$439,448,890","8404","Machinery","0.011351323995092331%"
"Machine tools for drilling by removing metal","$434,604,817","8459","Machinery","0.011226197630388398%"
"Gaskets and similar joints of metal sheeting","$416,497,861","8484","Machinery","0.010758480157894882%"
"Other machine tools for planing and cutting metals","$380,926,031","8461","Machinery","0.009839630715748502%"
"Automatic goods-vending machines","$376,272,661","8476","Machinery","0.009719430365398221%"
"Other parts for machines and appliances","$374,482,760","9033","Machinery","0.009673195759662525%"
"Mannequins","$366,708,602","9618","Machinery","0.009472382904618019%"
"Machines with grinding stones for finishing metal","$359,814,485","8460","Machinery","0.009294302227870662%"
"Optical microscopes","$351,382,394","9011","Machinery","0.009076494425700308%"
"Machinery for soldering","$328,116,694","8468","Machinery","0.008475522379388803%"
"Machines for assembling electric lamps","$326,851,305","8475","Machinery","0.008442836347302508%"
"Central heating boilers","$302,808,751","8403","Machinery","0.007821797527239719%"
