Name,Gross Export,Code,Sector,Share
"Business","$237,591,838,720","ict","Services","32.23490447497602%"
"Transport","$38,715,142,144","transport","Services","5.252616905826009%"
"Travel & tourism","$22,033,045,504","travel","Services","2.9892992997593817%"
"Insurance & finance","$11,031,078,912","financial","Services","1.4966245343271127%"
"Petroleum oils, refined","$81,374,234,257","2710","Minerals","11.040323110971867%"
"Oils etc. from high temperature coal tar","$1,923,145,602","2707","Minerals","0.26091979886985006%"
"Iron ores and concentrates","$1,736,535,033","2601","Minerals","0.23560169914831466%"
"Granite","$677,666,862","2516","Minerals","0.09194140118663904%"
"Electrical energy","$648,582,359","2716","Minerals","0.08799540632015698%"
"Petroleum gases","$529,089,669","2711","Minerals","0.0717834208060111%"
"Sulphur, crude","$493,252,365","2503","Minerals","0.06692125013001375%"
"Salt","$314,377,751","2501","Minerals","0.04265271411315419%"
"Coke","$272,584,305","2704","Minerals","0.036982453102725535%"
"Petroleum coke","$263,047,132","2713","Minerals","0.0356885119376057%"
"Natural barium sulfate","$202,050,797","2511","Minerals","0.027412928724641055%"
"Coal","$181,873,504","2701","Minerals","0.02467540576963287%"
"Clays","$128,169,008","2508","Minerals","0.017389131511379035%"
"Quartz","$107,924,572","2506","Minerals","0.014642499033910723%"
"Petroleum jelly","$105,617,881","2712","Minerals","0.014329542307623861%"
"Titanium ore","$95,628,247","2614","Minerals","0.012974214197597892%"
"Gravel","$89,032,049","2517","Minerals","0.012079285257388763%"
"Other slag and ash","$79,815,191","2621","Minerals","0.01082880233343802%"
"Slag, ash and residues containing metals","$72,724,134","2620","Minerals","0.009866734165385376%"
"Granulated iron or steel slag","$67,699,397","2618","Minerals","0.00918501076074537%"
"Pitch and pitch coke","$66,392,630","2708","Minerals","0.009007717173377273%"
"Natural steatite","$65,617,284","2526","Minerals","0.008902523306535284%"
"Mica","$56,431,712","2525","Minerals","0.007656285062144403%"
"Feldspar","$53,096,275","2529","Minerals","0.0072037548167599675%"
"Cements","$47,646,494","2523","Minerals","0.006464364226195245%"
"Mineral substances n.e.c.","$46,650,141","2530","Minerals","0.006329185577166791%"
"Marble","$42,030,161","2515","Minerals","0.005702376951169305%"
"Kaolin","$41,011,773","2507","Minerals","0.005564208737667876%"
"Copper ore","$40,649,119","2603","Minerals","0.005515006218294959%"
"Iron or steel slag","$33,517,283","2619","Minerals","0.004547405422620645%"
"Limstone","$27,536,909","2521","Minerals","0.003736027449146497%"
"Natural abrasives","$23,377,605","2513","Minerals","0.0031717203254477255%"
"Peat","$15,807,246","2703","Minerals","0.0021446236014147834%"
"Precious metal ores","$13,811,403","2616","Minerals","0.0018738406957449103%"
"Slate","$11,815,527","2514","Minerals","0.001603053312851183%"
"Zirconium ore","$10,466,853","2615","Minerals","0.0014200740582097054%"
"Gypsum","$7,942,180","2520","Minerals","0.0010775429619229349%"
"Aluminum ore","$7,547,948","2606","Minerals","0.0010240561463427287%"
"Natural sands","$7,220,553","2505","Minerals","0.000979637337146921%"
"Bituminous mixtures","$5,230,639","2715","Minerals","0.0007096588393626963%"
"Dolomite","$4,654,532","2518","Minerals","0.0006314964150453757%"
"Quicklime","$3,992,481","2522","Minerals","0.0005416736717325774%"
"Siliceous fossil meals and earths","$3,379,196","2512","Minerals","0.00045846717988740293%"
"Natural magnesia","$3,365,394","2519","Minerals","0.0004565946149291094%"
"Tar distilled from coal, lignite etc.","$3,244,826","2706","Minerals","0.0004402367383973354%"
"Bitumen and asphalt, natural","$2,784,441","2714","Minerals","0.0003777747170725996%"
"Zinc ore","$2,489,466","2608","Minerals","0.00033775444112906546%"
"Petroleum oils, crude","$1,823,650","2709","Minerals","0.00024742088727663697%"
"Natural graphite","$1,669,174","2504","Minerals","0.00022646259539883926%"
"Lignite","$1,550,109","2702","Minerals","0.00021030863606256704%"
"Asbestos","$1,436,322","2524","Minerals","0.00019487076119592778%"
"Chromium ore","$924,942","2610","Minerals","0.00012549007228329292%"
"Manganese > 47% by weight","$914,861","2602","Minerals","0.000124122348232825%"
"Natural calcium phosphates","$523,430","2510","Minerals","0.00007101555398635158%"
"Unroasted iron pyrites","$456,042","2502","Minerals","0.00006187279153094732%"
"Other ores","$343,346","2617","Minerals","0.00004658293639836821%"
"Natural borates","$303,757","2528","Minerals","0.00004121176018232084%"
"Molybdenum ore","$191,569","2613","Minerals","0.000025990827162393037%"
"Chalk","$139,956","2509","Minerals","0.00001898831338233159%"
"Lead ore","$104,766","2607","Minerals","0.000014213964673278397%"
"Tungsten ore","$88,638","2611","Minerals","0.000012025823270049925%"
"Nickel ore","$72,459","2604","Minerals","0.000009830762520866304%"
"Medicaments, packaged","$16,221,403,825","3004","Chemicals","2.200813822418848%"
"Insecticides, rodenticides, fungicides, etc.","$5,241,393,168","3808","Chemicals","0.7111178944382217%"
"Heterocyclic compounds with nitrogen hetero-atom(s) only","$3,836,683,881","2933","Chemicals","0.5205361390820558%"
"Cyclic hydrocarbons","$3,139,447,255","2902","Chemicals","0.4259396404958749%"
"New pneumatic tires of rubber","$2,845,270,459","4011","Chemicals","0.3860276596429052%"
"Synthetic organic coloring matter","$2,582,561,950","3204","Chemicals","0.35038508985599304%"
"Serums and vaccines","$1,331,188,820","3002","Chemicals","0.18060697994524133%"
"Other organic compounds","$1,327,091,625","2942","Chemicals","0.18005109936385488%"
"Other plates of plastics, noncellular and not reinforced","$1,310,427,940","3920","Chemicals","0.17779027972850905%"
"Polyacetals","$1,215,925,910","3907","Chemicals","0.16496886327686355%"
"Packing lids","$1,038,453,053","3923","Chemicals","0.14089050846839715%"
"Essential oils","$947,381,274","3301","Chemicals","0.12853448600463394%"
"Oxygen-function amino-compounds","$894,869,674","2922","Chemicals","0.12141005606231177%"
"Antibiotics","$891,935,088","2941","Chemicals","0.12101191065507376%"
