"Name","Gross Export","Code","Sector","Share"
"Business",262827563785,"ict","Services",35.32946202771646
"Travel & tourism",32188594389,"travel","Services",4.326813013120677
"Transport",29369040672,"transport","Services",3.947806661787813
"Insurance & finance",11766351303,"financial","Services",1.5816410409075794
"Unspecified",1388139232,"unspecified","Services",0.18659463101916257
"Petroleum oils, refined",69470534543,"2710","Minerals",9.33827706971333
"Iron ores and concentrates",3750485579,"2601","Minerals",0.5041428529816203
"Oils etc. from high temperature coal tar",1695765040,"2707","Minerals",0.2279459038688098
"Electrical energy",1495010699,"2716","Minerals",0.20096036717274
"Granite",648594425,"2516","Minerals",0.08718450903486957
"Petroleum gases",428263939,"2711","Minerals",0.05756753345367459
"Salt",323663987,"2501","Minerals",0.04350713590987682
"Petroleum coke",309548558,"2713","Minerals",0.04160973022807257
"Quartz",230601630,"2506","Minerals",0.030997629827284826
"Natural barium sulfate",218417125,"2511","Minerals",0.029359780278612073
"Coal",197216329,"2701","Minerals",0.026509954687822534
"Sulphur, crude",189590296,"2503","Minerals",0.02548485808297781
"Clays",147581303,"2508","Minerals",0.019837980329203916
"Petroleum jelly",119154110,"2712","Minerals",0.016016777479758392
"Titanium ore",100813184,"2614","Minerals",0.0135513775828122
"Coke",90182172,"2704","Minerals",0.012122349632465869
"Pitch and pitch coke",88623278,"2708","Minerals",0.011912802028001948
"Other slag and ash",85624406,"2621","Minerals",0.011509691589643775
"Gravel",77579787,"2517","Minerals",0.010428328366567069
"Copper ore",77392121,"2603","Minerals",0.0104031021736769
"Iron or steel slag",64270210,"2619","Minerals",0.008639245865269292
"Mica",58253302,"2525","Minerals",0.007830448950482401
"Feldspar",57280734,"2529","Minerals",0.007699715690505605
"Natural steatite",53856607,"2526","Minerals",0.0072394421823451845
"Cements",48672082,"2523","Minerals",0.0065425347633460045
"Kaolin",46909212,"2507","Minerals",0.006305568564565772
"Granulated iron or steel slag",43629649,"2618","Minerals",0.005864727448788491
"Slag, ash and residues containing metals",43360310,"2620","Minerals",0.0058285227150229445
"Marble",38882394,"2515","Minerals",0.005226598164161461
"Natural abrasives",36551293,"2513","Minerals",0.004913249963248859
"Mineral substances n.e.c.",35613858,"2530","Minerals",0.0047872393053140444
"Petroleum oils, crude",24518973,"2709","Minerals",0.0032958572270247667
"Limstone",21996415,"2521","Minerals",0.0029567732443926582
"Chromium ore",11289783,"2610","Minerals",0.0015175804015972183
"Precious metal ores",10395067,"2616","Minerals",0.001397312061045814
"Slate",10069642,"2514","Minerals",0.001353568208556375
"Peat",9520774,"2703","Minerals",0.0012797889942115232
"Zirconium ore",8956825,"2615","Minerals",0.0012039825814664467
"Natural sands",8304158,"2505","Minerals",0.001116250634096931
"Bituminous mixtures",6217548,"2715","Minerals",0.0008357670816870424
"Quicklime",5984501,"2522","Minerals",0.0008044407435412137
"Gypsum",5285969,"2520","Minerals",0.0007105435913029017
"Molybdenum ore",4956927,"2613","Minerals",0.0006663135391838882
"Dolomite",4136287,"2518","Minerals",0.0005560025455388605
"Bitumen and asphalt, natural",3829508,"2714","Minerals",0.0005147651012034298
"Natural magnesia",3708583,"2519","Minerals",0.0004985102794709709
"Tar distilled from coal, lignite etc.",3043584,"2706","Minerals",0.0004091206561733621
"Aluminum ore",2923638,"2606","Minerals",0.00039299743229474716
"Asbestos",2372707,"2524","Minerals",0.00031894090806993644
"Manganese > 47% by weight",1917777,"2602","Minerals",0.0002577889043424403
"Lignite",1704869,"2702","Minerals",0.000229169664438249
"Zinc ore",1580482,"2608","Minerals",0.00021244947828290186
"Natural graphite",1558700,"2504","Minerals",0.00020952152685039068
"Siliceous fossil meals and earths",1033205,"2512","Minerals",0.00013888412725313268
