"Name","Gross Export","Code","Sector","Share"
"Business",539236999999,"ict","Services",18.09488276751917
"Insurance & finance",200445000000,"financial","Services",6.726223861385821
"Travel & tourism",189133999999,"travel","Services",6.3466667853656595
"Transport",97777000000,"transport","Services",3.281049617075614
"Medical instruments",34745526621,"9018","Machinery",1.1659367419221556
"Machines n.e.c.",26983394575,"8479","Machinery",0.905467097964797
"Computers",22748628509,"8471","Machinery",0.7633633559881142
"Parts and accessories for office machines",22102952860,"8473","Machinery",0.7416967693582678
"Gas turbines",15130880390,"8411","Machinery",0.5077387249519459
"Appliances for thermostatically controlled valves",12808872404,"8481","Machinery",0.42982036569249005
"Centrifuges",12266848018,"8421","Machinery",0.4116319481287383
"Orthopedic appliances",12250689236,"9021","Machinery",0.4110897166684409
"Instruments for physical or chemical analysis",10381696332,"9027","Machinery",0.34837293816238896
"Pumps for liquids",8865680399,"8413","Machinery",0.29750081592044886
"Transmission shafts",8047066260,"8483","Machinery",0.27003102642702365
"Spark-ignition reciprocating internal combustion piston engines",7365035252,"8407","Machinery",0.24714448278555282
"Pumps, compressors, fans, etc.",7335464313,"8414","Machinery",0.24615218686644588
"Compression-ignition internal combustion piston engines",7290543102,"8408","Machinery",0.2446447902174372
"Parts for use with hoists and excavation machinery",7122520719,"8431","Machinery",0.23900655448303873
"Measuring instruments",7023661390,"9031","Machinery",0.23568918574028938
"Parts suitable for use with spark-ignition engines",5802944290,"8409","Machinery",0.19472624585143355
"Instruments for measuring electricity",5608285083,"9030","Machinery",0.18819417269938765
"Self-propelled bulldozers, excavators and road rollers",5475062558,"8429","Machinery",0.18372369687545057
"Harvesting or agricultural machinery",4859221515,"8433","Machinery",0.16305825389484577
"Equipment for temperature change of materials",4403435417,"8419","Machinery",0.14776368766443077
"X-ray machines",4192070156,"9022","Machinery",0.1406710185431943
"Instruments for measuring properties of liquids or gases",4107039845,"9026","Machinery",0.137817702637139
"Munitions of war",4026860651,"9306","Machinery",0.13512717302617597
"Other engines and motors",3861975126,"8412","Machinery",0.1295941991298347
"Games",3503970237,"9504","Machinery",0.11758082375561942
"Liquid crystal devices",3385356346,"9013","Machinery",0.11360056191852684
"Automatic regulating instruments",3265059810,"9032","Machinery",0.10956383647820528
"Optical fibers",3152869188,"9001","Machinery",0.10579911678592002
"Sprays and powder dispersers",2811429752,"8424","Machinery",0.09434161930959825
"Air conditioners",2784671183,"8415","Machinery",0.09344369656119175
"Refrigerators, freezers",2765493468,"8418","Machinery",0.09280016040793347
"Printers and copiers",2546103373,"8443","Machinery",0.08543820629612874
"Fork-lift trucks",2492593273,"8427","Machinery",0.08364259696965443
"Ball or roller bearings",2471282291,"8482","Machinery",0.08292747593576502
"Other moving, excavating or boring machinery",2345397465,"8430","Machinery",0.07870322728687079
"Parts and accessories for metal working machines",2251214358,"8466","Machinery",0.07554277598280806
"Sports equipment",1933132955,"9506","Machinery",0.0648690913175798
"Other lifting machinery",1874784528,"8428","Machinery",0.0629111248830879
"Machinery parts, not containing electrical features, n.e.c.",1802671300,"8485","Machinery",0.06049126050684925
"Therapy applicances",1798750805,"9019","Machinery",0.06035970258813117
"Machinery for working rubber or plastics",1698044593,"8477","Machinery",0.05698035899690077
"Surveying instruments",1667444976,"9015","Machinery",0.055953544289551294
"Dish washing machines",1305845721,"8422","Machinery",0.043819554730119344
