filtered_state_swachh_survekshan_result
id,states,position,marks
INAN,Andaman & Nicobar Islands,,
INAP,Andhra Pradesh,6,2816.83
INAR,Arunachal Pradesh,27,1073.75
INAS,Assam,20,1515.87
INBR,Bihar,15,1815.25
INCT,Chhattisgarh,3,3425.41
INDH,Dadra and Nagar Haveli & Daman and Diu,,
INGA,Goa,13,1990.15
INGJ,Gujarat,8,2328.14
INHR,Haryana,14,1958.01
INHP,Himachal Pradesh,18,1636.98
INJK,Jammu & Kashmir,,
INJH,Jharkhand,16,1667.58
INKA,Karnataka,12,2059.20
INKL,Kerala,22,1321.88
INLA,Ladakh,,
INLD,Lakshadweep,,
INMP,Madhya Pradesh,2,3657.92
INMH,Maharastra,1,3721.55
INMN,Manipur,17,1663.81
INML,Meghalaya,21,1364.29
INMZ,Mizoram,26,1105.92
INNL,Nagaland,24,1232.69
INDL,Delhi,,
INOR,Odisha,4,3131.38
INPY,Puducherry,,
INPB,Punjab,7,2605.49
INRJ,Rajasthan,25,1212.14
INSK,Sikkim,11,2069.96
INTN,Tamil Nadu,10,2263.47
INTL,Telangana,5,3029.32
INTR,Tripura,23,1236.40
INUP,Uttar Pradesh,9,2286.87
INUT,Uttarakhand,19,1589.39
INWB,West Bengal,,
